school,course,status,credits,notes
University of Washington (MEDEX),Anatomy,required,,
University of Washington (MEDEX),Physiology,required,,
University of Washington (MEDEX),Biology,unspecified,,
University of Washington (MEDEX),Microbiology,required,,
University of Washington (MEDEX),Chemistry,unspecified,,
University of Washington (MEDEX),Organic Chemistry,accepted,,
University of Washington (MEDEX),Biochemistry,accepted,,
University of Washington (MEDEX),Statistics,required,,
University of Washington (MEDEX),English,unspecified,,
University of Washington (MEDEX),Genetics,recommended,,
University of Washington (MEDEX),Social Science,recommended,,
University of Washington (MEDEX),Developmental Psychology,unspecified,,
University of Washington (MEDEX),Cultural Competency,unspecified,,
Utah Valley University,Anatomy,required,,
Utah Valley University,Physiology,required,,
Utah Valley University,Biology,required,,
Utah Valley University,Microbiology,required,,
Utah Valley University,Chemistry,required,,
Utah Valley University,Organic Chemistry,not required,,
Utah Valley University,Biochemistry,not required,,
Utah Valley University,Statistics,required,,
Utah Valley University,English,not required,,
Utah Valley University,Genetics,not required,,
Utah Valley University,Social Science,not required,,
Utah Valley University,Developmental Psychology,not required,,
Utah Valley University,Cultural Competency,not required,,
University of Utah,Anatomy,required,,
University of Utah,Physiology,required,,
University of Utah,Biology,required,,
University of Utah,Microbiology,required,,
University of Utah,Chemistry,required,,
University of Utah,Organic Chemistry,unspecified,,
University of Utah,Biochemistry,required,,
University of Utah,Statistics,required,,
University of Utah,English,unspecified,,
University of Utah,Genetics,unspecified,,
University of Utah,Social Science,unspecified,,
University of Utah,Developmental Psychology,required,,
University of Utah,Cultural Competency,unspecified,,
University of New England,Anatomy,required,,
University of New England,Physiology,required,,
University of New England,Biology,required,,
University of New England,Microbiology,required,,
University of New England,Chemistry,required,,
University of New England,Organic Chemistry,accepted,,
University of New England,Biochemistry,required,,
University of New England,Statistics,required,,
University of New England,English,required,,
University of New England,Genetics,required,,
University of New England,Social Science,required,,
University of New England,Developmental Psychology,not required,,
University of New England,Cultural Competency,not required,,
Des Moines University,Anatomy,required,,
Des Moines University,Physiology,required,,
Des Moines University,Biology,required,,
